Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile and Auto Components,EQ,2715,2770,2683.35,2719.7,2758.8,39.1,1.44,393346,1075824911,2968.95,2146.85,-6.3,-1.95
HFCL Ltd.,HFCL,Telecommunication,EQ,55.15,55.7,54.25,55.15,54.95,-0.2,-0.36,2275417,124943147.5,101.35,51.55,-18.3,-12.39
Hinduja Global Solutions Ltd.,HGS,Services,EQ,1075,1080.55,1050.05,1067.1,1074.1,7,0.66,180181,193514394,3920,846,-,11.13
Hikal Ltd.,HIKAL,Healthcare,EQ,239.85,243.6,234.15,239,238.95,-0.05,-0.02,386423,92262355.48,742,212,-51.31,-27.67
Hindalco Industries Ltd.,HINDALCO,Metals & Mining,EQ,335,342.9,330.25,338.65,341.8,3.15,0.93,11278576,3788248107,636,308.95,-8.98,-19.86
Hindustan Copper Ltd.,HINDCOPPER,Metals & Mining,EQ,86.1,88.75,85.65,87.1,88.3,1.2,1.38,2962596,258130989.5,159.4,81.2,-39.56,-17.13
Hindustan Petroleum Corporation Ltd.,HINDPETRO,Oil Gas & Consumable Fuels,EQ,218,229,216.2,217.2,227.5,10.3,4.74,8196598,1840464115,354.8,206.5,-25.92,-4.65
Hindustan Unilever Ltd.,HINDUNILVR,Fast Moving Consumer Goods,EQ,2226,2293,2203.6,2230.6,2291,60.4,2.71,1235612,2788393244,2859.3,1901.55,-9.74,-5.21
Hindustan Zinc Ltd.,HINDZINC,Metals & Mining,EQ,246,249,245.35,249.35,247.75,-1.6,-0.64,310474,76659135.34,408.6,245.1,-26.51,-17.15
HLE Glascoat Ltd.,HLEGLAS,Capital Goods,EQ,3320,3447.9,3252.4,3295.2,3410,114.8,3.48,13768,46522898.08,7550,2950,-5.48,-4.13
Home First Finance Company India Ltd.,HOMEFIRST,Financial Services,EQ,746.95,748,726.05,743.7,733.95,-9.75,-1.31,37017,27411828.84,921.3,525.05,37.4,-4.41
